activity_year,loan_type,action_taken,loan_purpose,business_or_commercial_purpose,construction_method,occupancy_type,state_code,county_name,loan_amount,income,loan_term,property_value,total_units
2022,1,1,1,2,1,1,CA,Santa Barbara County ,865000,0.0,360.0,1105000.0,1
2022,1,1,1,2,1,2,NJ,Ocean County  ,955000,462000.0,360.0,1205000.0,1
2022,1,1,1,2,1,1,CA,Marin County  ,945000,0.0,360.0,1205000.0,1
2022,1,1,1,2,1,1,CA,Alameda County  ,965000,0.0,360.0,1235000.0,1
2022,1,1,1,2,1,1,CA,San Joaquin County ,635000,115000.0,360.0,805000.0,1
2022,1,1,1,2,1,1,CA,Placer County  ,705000,0.0,360.0,895000.0,1
2022,1,1,1,2,1,1,OR,Linn County  ,635000,0.0,360.0,805000.0,1
2022,1,1,1,2,1,1,CA,Sacramento County  ,635000,0.0,360.0,805000.0,1
2022,1,1,1,2,1,1,TN,Williamson County  ,805000,0.0,360.0,1025000.0,1
2022,1,1,1,2,1,1,CA,Riverside County  ,545000,0.0,360.0,695000.0,1
2022,1,1,1,2,1,1,CA,Contra Costa County ,705000,0.0,360.0,1205000.0,1
2022,1,1,1,2,1,2,PA,Wayne County  ,695000,419000.0,360.0,905000.0,1
2022,1,1,1,2,1,1,GA,DeKalb County  ,945000,0.0,360.0,1205000.0,1
2022,1,1,1,2,1,1,CA,Santa Clara County ,885000,0.0,360.0,1125000.0,1
2022,1,1,1,2,1,1,ID,Bonneville County  ,695000,0.0,360.0,875000.0,1
2022,1,1,1,2,1,1,TN,Henry County  ,235000,152000.0,360.0,295000.0,1
2022,1,1,1,2,1,1,OR,Josephine County  ,305000,54000.0,360.0,325000.0,1
2022,1,1,1,2,1,1,CT,New Haven County ,175000,57000.0,360.0,205000.0,1
2022,1,1,1,2,1,1,CA,Santa Barbara County ,715000,0.0,360.0,915000.0,1
2022,1,1,1,2,1,1,CA,Sonoma County  ,895000,0.0,360.0,1205000.0,1
2022,1,1,1,2,1,2,HI,Hawaii County  ,2395000,500000.0,360.0,3005000.0,1
2022,1,1,1,2,1,1,NY,Kings County  ,415000,103000.0,360.0,465000.0,1
2022,1,1,1,2,1,1,CA,Alameda County  ,905000,0.0,360.0,1155000.0,1
2022,1,1,1,2,1,1,NJ,Middlesex County  ,575000,282000.0,360.0,725000.0,1
2022,1,1,1,2,1,1,CA,Sacramento County  ,715000,0.0,360.0,905000.0,1
2022,1,1,1,2,1,1,TN,Davidson County  ,245000,42000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,TX,Burnet County  ,655000,0.0,360.0,825000.0,1
2022,1,1,1,2,1,1,IL,Lake County  ,625000,247000.0,360.0,725000.0,1
2022,1,1,1,2,1,1,NY,Dutchess County  ,315000,85000.0,360.0,345000.0,1
2022,1,1,1,2,1,1,CO,El Paso County ,415000,80000.0,360.0,525000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,695000,162000.0,360.0,825000.0,2
2022,1,1,1,2,1,1,NY,Dutchess County  ,305000,70000.0,360.0,375000.0,1
2022,1,1,1,2,1,1,NY,Queens County  ,325000,106000.0,360.0,405000.0,1
2022,1,1,1,2,1,1,NJ,Union County  ,325000,59000.0,360.0,345000.0,1
2022,1,1,1,2,1,1,CA,Yolo County  ,655000,176000.0,360.0,775000.0,1
2022,1,1,1,2,1,1,TX,Collin County  ,555000,242000.0,360.0,695000.0,1
2022,1,1,1,2,1,1,TX,Travis County  ,365000,118000.0,360.0,605000.0,1
2022,1,1,1,2,1,1,PA,Philadelphia County  ,185000,50000.0,360.0,235000.0,1
2022,1,1,1,2,1,1,WA,King County  ,585000,126000.0,360.0,615000.0,1
2022,1,1,1,2,1,1,TN,Davidson County  ,425000,90000.0,360.0,585000.0,1
2022,1,1,1,2,1,1,FL,Seminole County  ,285000,84000.0,360.0,295000.0,1
2022,1,1,1,2,1,1,NJ,Monmouth County  ,595000,175000.0,360.0,705000.0,2
2022,1,1,1,2,1,1,TX,Harris County  ,385000,102000.0,360.0,535000.0,1
2022,1,1,1,2,1,1,NY,New York County ,645000,155000.0,360.0,685000.0,1
2022,1,1,1,2,1,1,CA,Santa Clara County ,375000,100000.0,360.0,495000.0,1
2022,1,1,1,2,1,1,CA,Alameda County  ,1995000,457000.0,360.0,2555000.0,1
2022,1,1,1,2,1,1,CA,Contra Costa County ,505000,90000.0,360.0,525000.0,1
2022,1,1,1,2,1,1,NY,Madison County  ,265000,250000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,CA,Orange County  ,635000,134000.0,360.0,845000.0,1
2022,1,1,1,2,1,1,NY,Bronx County  ,545000,93000.0,360.0,575000.0,1
2022,1,1,1,2,1,1,NY,Orange County  ,175000,90000.0,360.0,185000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,465000,110000.0,360.0,485000.0,1
2022,1,1,1,2,1,1,CA,San Benito County ,545000,180000.0,360.0,685000.0,1
2022,1,1,1,2,1,1,CT,Fairfield County  ,695000,278000.0,360.0,735000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,635000,110000.0,360.0,675000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,485000,190000.0,360.0,655000.0,1
2022,1,1,1,2,1,1,TN,Williamson County  ,765000,0.0,360.0,965000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,415000,133000.0,360.0,485000.0,1
2022,1,1,1,2,1,1,PA,Dauphin County  ,225000,47000.0,360.0,225000.0,1
2022,1,1,1,2,1,1,CA,San Joaquin County ,215000,111000.0,360.0,225000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,1675000,390000.0,360.0,2105000.0,1
2022,1,1,1,2,1,1,NJ,Mercer County  ,195000,81000.0,360.0,265000.0,1
2022,1,1,1,2,1,1,AZ,Pima County  ,215000,49000.0,360.0,225000.0,1
2022,1,1,1,2,1,1,CA,Riverside County  ,665000,0.0,360.0,845000.0,1
2022,1,1,1,2,1,1,NJ,Sussex County  ,225000,50000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,WA,Snohomish County  ,645000,157000.0,360.0,745000.0,1
2022,1,1,1,2,1,1,TX,Harris County  ,125000,54000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,FL,Broward County  ,265000,212000.0,360.0,275000.0,1
2022,1,1,1,2,1,1,CA,Santa Clara County ,155000,39000.0,360.0,215000.0,1
2022,1,1,1,2,1,1,CA,Placer County  ,1395000,0.0,360.0,2305000.0,1
2022,1,1,1,2,1,1,NJ,Sussex County  ,335000,83000.0,360.0,355000.0,1
2022,1,1,1,2,1,1,IL,DuPage County  ,1085000,0.0,360.0,1375000.0,1
2022,1,1,1,2,1,1,IL,Cook County  ,305000,126000.0,360.0,325000.0,1
2022,1,1,1,2,1,1,NY,Queens County  ,725000,289000.0,360.0,765000.0,1
2022,1,1,1,2,1,2,WA,King County  ,1095000,350000.0,360.0,1375000.0,1
2022,1,1,1,2,1,1,VA,Loudoun County  ,225000,60000.0,180.0,495000.0,1
2022,1,1,1,2,1,1,TX,Brazoria County  ,335000,77000.0,360.0,355000.0,1
2022,1,1,1,2,1,1,CA,Santa Clara County ,1035000,0.0,360.0,1305000.0,1
2022,1,1,1,2,1,1,IL,Kane County  ,265000,59000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,IL,Cook County  ,235000,49000.0,360.0,265000.0,1
2022,1,1,1,2,1,1,NY,Westchester County  ,2575000,1138000.0,360.0,3305000.0,1
2022,1,1,1,2,1,1,ID,Canyon County  ,955000,0.0,360.0,1205000.0,1
2022,1,1,1,2,1,1,NY,Westchester County  ,415000,182000.0,360.0,435000.0,1
2022,1,1,1,2,1,1,NY,Nassau County  ,495000,98000.0,360.0,525000.0,1
2022,1,1,1,2,1,1,IL,DuPage County  ,315000,98000.0,360.0,335000.0,1
2022,1,1,1,2,1,1,ID,Ada County  ,795000,0.0,360.0,1005000.0,1
2022,1,1,1,2,1,1,TX,Liberty County  ,205000,55000.0,360.0,205000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,255000,115000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,NY,Bronx County  ,545000,91000.0,360.0,645000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,645000,225000.0,360.0,715000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,315000,109000.0,360.0,335000.0,1
2022,1,1,1,2,1,1,NY,Orange County  ,295000,93000.0,360.0,345000.0,1
2022,1,1,1,2,1,1,CA,Alameda County  ,585000,176000.0,360.0,615000.0,1
2022,1,1,1,2,1,1,CA,Stanislaus County  ,535000,229000.0,240.0,675000.0,1
2022,1,1,1,2,1,1,NY,Westchester County  ,245000,96000.0,360.0,445000.0,1
2022,1,1,1,2,1,1,OR,Deschutes County  ,1055000,223000.0,360.0,1325000.0,1
2022,1,1,1,2,1,1,NJ,Union County  ,305000,68000.0,360.0,465000.0,1
2022,1,1,1,2,1,1,MN,Rice County  ,225000,47000.0,360.0,245000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,1095000,0.0,360.0,1385000.0,1
2022,1,1,1,2,1,1,OH,Hancock County  ,175000,45000.0,360.0,175000.0,1
2022,1,1,1,2,1,1,IL,Lake County  ,475000,112000.0,360.0,505000.0,1
2022,1,1,1,2,1,1,OH,Hancock County  ,105000,114000.0,360.0,115000.0,1
2022,1,1,1,2,1,2,NJ,Ocean County  ,1415000,709000.0,360.0,1775000.0,1
2022,1,1,1,2,1,1,WA,Pierce County  ,505000,135000.0,360.0,535000.0,1
2022,1,1,1,2,1,1,IL,DuPage County  ,625000,293000.0,360.0,705000.0,1
2022,1,1,1,2,1,1,ID,Canyon County  ,345000,111000.0,360.0,695000.0,1
2022,1,1,1,2,1,1,CA,Alameda County  ,1355000,331000.0,360.0,1705000.0,1
2022,1,1,1,2,1,1,TX,Galveston County  ,215000,48000.0,360.0,215000.0,1
2022,1,1,1,2,1,1,TX,Montgomery County  ,245000,52000.0,360.0,325000.0,1
2022,1,1,1,2,1,1,CA,Orange County  ,2795000,550000.0,360.0,3505000.0,1
2022,1,1,1,2,1,1,OH,Hancock County  ,205000,77000.0,360.0,215000.0,1
2022,1,1,1,2,1,1,MN,Cass County  ,1835000,332000.0,360.0,2305000.0,1
2022,1,1,1,2,1,1,TX,Guadalupe County  ,165000,62000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,OH,Miami County  ,95000,47000.0,360.0,115000.0,1
2022,1,1,1,2,1,1,WA,King County  ,1845000,359000.0,360.0,2305000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,725000,248000.0,360.0,815000.0,1
2022,1,1,1,2,1,1,OH,Lucas County  ,215000,62000.0,360.0,225000.0,1
2022,1,1,1,2,1,1,OH,Putnam County  ,105000,54000.0,360.0,115000.0,1
2022,1,1,1,2,1,1,OH,Clark County  ,95000,34000.0,360.0,95000.0,1
2022,1,1,1,2,1,1,IL,Cook County  ,125000,67000.0,360.0,135000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,805000,290000.0,360.0,855000.0,1
2022,1,1,1,2,1,1,NJ,Ocean County  ,285000,90000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,NJ,Ocean County  ,245000,38000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,CA,Fresno County  ,245000,40000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,IL,Kendall County  ,225000,60000.0,360.0,235000.0,1
2022,1,1,1,2,1,1,CA,San Joaquin County ,645000,160000.0,360.0,705000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,475000,195000.0,360.0,755000.0,1
2022,1,1,1,2,1,1,AL,Madison County  ,275000,79000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,VA,Loudoun County  ,685000,159000.0,360.0,725000.0,1
2022,1,1,1,2,1,1,OH,Seneca County  ,125000,30000.0,360.0,135000.0,1
2022,1,1,1,2,1,1,OR,Deschutes County  ,405000,243000.0,360.0,535000.0,1
2022,1,1,1,2,1,2,DE,Sussex County  ,745000,276000.0,360.0,935000.0,1
2022,1,1,1,2,1,1,CA,San Mateo County ,995000,206000.0,360.0,1255000.0,1
2022,1,1,1,2,1,1,WV,Berkeley County  ,275000,125000.0,360.0,285000.0,1
